t y(t)
0.0 10.0
0.100200400802 10.0980968331
0.200400801603 10.1303439163
0.300601202405 10.1429776738
0.400801603206 10.1392504691
0.501002004008 10.1205585736
0.60120240481 10.0882982237
0.701402805611 10.0442817126
0.801603206413 9.990825469
0.901803607214 9.93071663612
1.00200400802 9.86711844222
1.10220440882 9.80343928694
1.20240480962 9.74317994426
1.30260521042 9.68976973538
1.40280561122 9.64640114314
1.50300601202 9.6158715749
1.60320641283 9.60044027705
1.70340681363 9.60170754845
1.80360721443 9.62052232411
1.90380761523 9.65692289848
2.00400801603 9.71011406273
2.10420841683 9.77848229279
2.20440881764 9.85964890948
2.30460921844 9.95055941029
2.40480961924 10.0476055174
2.50501002004 10.1467749707
2.60521042084 10.2438227848
2.70541082164 10.3344566459
2.80561122244 10.4145283908
2.90581162325 10.4802231289
3.00601202405 10.5282375523
3.10621242485 10.5559393338
3.20641282565 10.5615002305
3.30661322645 10.54399656
3.40681362725 10.5034720526
3.50701402806 10.4409596597
3.60721442886 10.3584606393
3.70741482966 10.258881078
3.80761523046 10.1459278629
3.90781563126 10.0239679089
4.00801603206 9.8978560944
4.10821643287 9.77273879531
4.20841683367 9.6538410628
4.30861723447 9.54624631506
4.40881763527 9.4546778688
4.50901803607 9.38329169538
4.60921843687 9.33548944535
4.70941883768 9.31376005228
4.80961923848 9.31955712894
4.90981963928 9.35321794916
5.01002004008 9.41392812383
5.11022044088 9.49973419756
5.21042084168 9.60760439199
5.31062124248 9.73353568583
5.41082164329 9.87270343608
5.51102204409 10.019647895
5.61122244489 10.1684903419
5.71142284569 10.3131702013
5.81162324649 10.447693516
5.91182364729 10.5663825373
6.0120240481 10.6641160069
6.1122244489 10.7365499577
6.2124248497 10.7803095409
6.3126252505 10.7931434713
6.4128256513 10.7740341409
6.5130260521 10.7232582046
6.61322645291 10.6423944474
6.71342685371 10.5342778941
6.81362725451 10.4029013509
6.91382765531 10.2532677659
7.01402805611 10.0911988868
7.11422845691 9.92310756959
7.21442885772 9.75574269565
7.31462925852 9.59591689327
7.41482965932 9.45022809668
7.51503006012 9.32478635947
7.61523046092 9.22495725603
7.71543086172 9.15513264998
7.81563126253 9.11853860165
7.91583166333 9.11708876454
8.01603206413 9.15128983753
8.11623246493 9.22020356635
8.21643286573 9.32146750683
8.31663326653 9.45137436611
8.41683366733 9.60500732458
8.51703406814 9.77642640963
8.61723446894 9.95889884019
8.71743486974 10.1451643789
8.81763527054 10.3277251958
8.91783567134 10.4991486332
9.01803607214 10.6523706099
9.11823647295 10.7809872538
9.21843687375 10.8795227078
9.31863727455 10.9436619101
9.41883767535 10.9704384725
9.51903807615 10.958369525
9.61923847695 10.9075314832
9.71943887776 10.8195730565
9.81963927856 10.6976643471
9.91983967936 10.5463834915
10.0200400802 10.371544865
10.120240481 10.1799752928
10.2204408818 9.97924689889
10.3206412826 9.77737707197
10.4208416834 9.58250746614
10.5210420842 9.40257491936
10.621242485 9.2449876169
10.7214428858 9.11631973263
10.8216432866 9.02203714461
10.9218436874 8.96626566508
11.0220440882 8.95161159205
11.122244489 8.97904234265
11.2224448898 9.04783254745
11.3226452906 9.15557836504
11.4228456914 9.29828002198
11.5230460922 9.47048980624
11.623246493 9.66552005566
11.7234468938 9.87570319711
11.8236472946 10.0926937099
11.9238476954 10.3078000994
12.0240480962 10.5123336517
12.124248497 10.6979599498
12.2244488978 10.8570389117
12.3246492986 10.9829394607
12.4248496994 11.0703158635
12.5250501002 11.1153342249
12.625250501 11.1158395652
12.7254509018 11.0714562444
12.8256513026 10.9836171464
12.9258517034 10.8555198965
13.0260521042 10.6920113294
13.126252505 10.4994043479
13.2264529058 10.2852340832
13.3266533066 10.0579627828
13.4268537074 9.8266449974
13.5270541082 9.60056633274
13.627254509 9.38887020075
13.7274549098 9.20018759125
13.8276553106 9.04228487201
13.9278557114 8.92174399962
14.0280561122 8.84368831096
14.128256513 8.81156531122
14.2284569138 8.82699564423
14.3286573146 8.88969481434
14.4288577154 8.99747132779
14.5290581162 9.14630185301
14.629258517 9.33048088506
14.7294589178 9.54283936739
14.8296593186 9.77502389639
14.9298597194 10.0178256273
15.0300601202 10.2615459175
15.130260521 10.496384173
15.2304609218 10.7128323698
15.3306613226 10.9020603544
15.4308617234 11.0562762951
15.5310621242 11.1690475656
15.6312625251 11.2355688435
15.7314629259 11.2528662624
15.8316633267 11.2199289681
15.9318637275 11.1377623106
16.0320641283 11.0093600364
16.1322645291 10.8395961012
16.2324649299 10.6350399747
16.3326653307 10.4037024269
16.4328657315 10.1547216317
16.5330661323 9.89800189639
16.6332665331 9.6438193139
16.7334669339 9.40241005096
16.8336673347 9.18355778442
16.9338677355 8.99619692593
17.0340681363 8.84804773626
17.1342685371 8.74529823579
17.2344689379 8.69234601498
17.3346693387 8.69161070523
17.4348697395 8.74342508011
17.5350701403 8.84600962818
17.6352705411 8.99553209733
17.7354709419 9.18625008967
17.8356713427 9.41073142392
17.9358717435 9.66014381526
18.0360721443 9.92460257872
18.1362725451 10.1935626595
18.2364729459 10.4562394304
18.3366733467 10.7020414519
18.4368737475 10.9209978159
18.5370741483 11.1041628205
18.6372745491 11.2439815446
18.7374749499 11.3346013797
18.8376753507 11.372116677
18.9378757515 11.3547362982
19.0380761523 11.2828669105
19.1382765531 11.1591082304
19.2384769539 10.9881599452
19.3386773547 10.7766436071
19.4388777555 10.5328462314
19.5390781563 10.2663955292
19.6392785571 9.9878795023
19.7394789579 9.70842544313
19.8396793587 9.4392550871
19.9398797595 9.19123371515
20.0400801603 8.97443133383
20.1402805611 8.79771366468
20.2404809619 8.66837956094
20.3406813627 8.59185968103
20.4408817635 8.57148885246
20.5410821643 8.60836165212
20.6412825651 8.70127742261
20.7414829659 8.84677737146
20.8416833667 9.03927270405
20.9418837675 9.27125906912
21.0420841683 9.53360909688
21.1422845691 9.81593162611
21.2424849699 10.1069834766
21.3426853707 10.3951174414
21.4428857715 10.6687486383
21.5430861723 10.9168205373
21.6432865731 11.1292519088
21.7434869739 11.2973466171
21.8436873747 11.4141495978
21.9438877756 11.4747344492
22.0440881764 11.4764107518
22.1442885772 11.4188424115
22.244488978 11.3040718612
22.3446893788 11.1364487238
22.4448897796 10.9224653783
22.5450901804 10.6705056283
22.6452905812 10.3905161987
22.745490982 10.093613933
22.8456913828 9.79164420908
22.9458917836 9.49670812298
23.0460921844 9.22067732169
23.1462925852 8.97471594619
23.246492986 8.76882894331
23.3466933868 8.61145502674
23.4468937876 8.50912084918
23.5470941884 8.46617055565
23.6472945892 8.48458191485
23.74749499 8.56387678981
23.8476953908 8.70112994632
23.9478957916 8.89107625836
24.0480961924 9.12631241151
24.1482965932 9.39758538797
24.248496994 9.69415649392
24.3486973948 10.004226605
24.4488977956 10.3154057844
24.5490981964 10.6152085749
24.6492985972 10.8915551565
24.749498998 11.1332582459
24.8496993988 11.3304761058
24.9498997996 11.4751133159
25.0501002004 11.5611529849
